sampler,d,K,sup_err,rms_err,mean_err
grid,1,2,0.49694216954777265,0.11080645367795461,0.04101293646487135
grid,1,4,0.05551924309753972,0.012390615060131536,0.004557928052697463
grid,1,8,0.010202395157160704,0.002393518472234663,0.0009040252399576894
grid,1,16,0.002219103402129295,0.0005034219463657846,0.00018874521802813966
grid,1,32,0.0005193832665611464,0.00011039319854124648,4.09332822573491e-05
grid,1,64,0.00012582408014075522,2.736660637115345e-05,1.0026860274952606e-05
grid,1,128,3.071705780087475e-05,6.72353677702193e-06,2.445620097392154e-06
grid,2,4,0.8777213873121736,0.1602831413351423,0.07757331550559862
grid,2,9,0.24273278244901786,0.04117423939534768,0.019979233110980064
grid,2,16,0.10064152157725273,0.017748868501345598,0.00852885797897734
grid,2,36,0.03626065297726802,0.006724175959126956,0.003294827927753359
grid,2,64,0.01910125407071761,0.003471316794336889,0.0017085112402011498
grid,2,144,0.007416928362802666,0.0013837426373499405,0.0006799781534516798
grid,2,256,0.00349710868218156,0.0007249221523983709,0.0003596129091083531
grid,2,576,0.0018060565276781793,0.00031479033859043934,0.00015593008118357698
grid,3,8,1.1000927458574066,0.21206537430000622,0.12121686178558744
grid,3,27,0.30922500241051354,0.0536980063540656,0.030549604952412535
grid,3,64,0.11948669288465319,0.023303781857349097,0.013038645262321484
grid,3,125,0.06271548265187321,0.013266536939487955,0.00762175346101155
grid,3,216,0.043160163664492615,0.008767686901050892,0.004951933369281407
grid,3,512,0.025222242528065597,0.004531047385111061,0.002612000630592613
grid,3,1000,0.012334389999584694,0.0026445275957268388,0.001466956029253772
grid,4,16,1.143386675595916,0.26572711802786514,0.1682742042408698
grid,4,81,0.3098699077049252,0.06538699972154996,0.041574427887754666
grid,4,256,0.1490474776555999,0.029809702347648116,0.01857881238099526
grid,4,625,0.07264900633396598,0.01643959285531079,0.010326402204188546
grid,4,1296,0.05175578888425525,0.010667949333681257,0.0067931419821243965
grid,4,2401,0.03266249513408326,0.0072448307953427256,0.004524486749337456
random,2,4,6.90676617840965,1.9922719390369923,1.3645019262342006
random,2,8,5.972238601656325,1.7016764935671103,1.2734254132201677
random,2,16,2.443531924816236,0.7419205359147057,0.5432705628365128
random,2,32,1.787099929915918,0.5330494238512686,0.39437698541344685
random,2,64,1.3946063068027241,0.4068307881738004,0.3042817010899595
random,2,128,1.3620210025160908,0.38252377807218646,0.2661175050412901
random,2,256,0.5925291279697733,0.18949660356753606,0.14492735292950726
random,2,512,0.4250096588191745,0.13761142577087418,0.10119192071159556
random,2,1024,0.30191160268356576,0.08753406005080655,0.06216270460107792
random,2,2048,0.2307139230414048,0.06580454594662727,0.045723450531493966
random,2,4096,0.21115022096121816,0.0536841638646344,0.03544791800109916
random,4,4,13.015351702732998,4.4070715515959575,3.8499270601250175
random,4,8,10.21895709464593,3.5273326648458427,3.1379766859014677
random,4,16,7.32479825001455,2.56945597470788,2.222399466530709
random,4,32,6.042341029155362,2.4362654618568818,2.1379826340647994
random,4,64,8.691232302389452,1.9926098723895274,1.6730043327579553
random,4,128,4.872410194560143,1.5849913587526672,1.3606080755618881
random,4,256,3.774212060462201,1.206933129536164,1.0204352941554242
random,4,512,3.1799084265995283,1.051728568361544,0.8836063012366253
random,4,1024,3.075463275540139,0.8450876217335328,0.6826944345520506
random,4,2048,2.383072345103578,0.6706221443275417,0.5531733530926756
random,4,4096,2.086775681329655,0.5488407468706166,0.44713690720396665
random,8,4,23.083391974884155,10.246692299425897,9.67515806462067
random,8,8,20.37066504056688,9.20995484223461,8.580691350206187
random,8,16,16.974704768785834,7.7769056803281655,7.322255821424206
random,8,32,15.734691635698933,6.823946811869081,6.4039920009679445
random,8,64,13.327527526478281,6.105208336884787,5.7174131307642675
random,8,128,12.600829780324709,5.13240169671003,4.8050542352154295
random,8,256,11.68923354278198,4.753287968533261,4.428197028287477
random,8,512,9.713428753524262,4.159528457733542,3.8603423374998953
random,8,1024,9.16481594074973,3.608159196260861,3.3272372275274433
random,8,2048,8.46155844781477,3.2917823013774097,3.053337792535408
random,8,4096,8.42022706296115,2.8900055296640152,2.657721512156848
random,16,4,41.50038761172519,22.325720432353393,21.696014530570732
random,16,8,40.52891578401818,20.47068329921759,19.899353240509043
random,16,16,35.84076097055486,18.812697779512106,18.309562290757743
random,16,32,33.57695040711544,17.356450986734373,16.888401087332607
random,16,64,30.76127030827604,15.98860727196936,15.54494480581042
random,16,128,27.576172651690534,14.792135159574404,14.389485239166717
random,16,256,25.948503146328783,13.73231601727963,13.343435044105316
random,16,512,27.619466021875155,12.651250236033134,12.273081382575802
random,16,1024,22.96710545402362,11.898455016953374,11.549312391123186
random,16,2048,21.863992884520137,11.09080911823894,10.747156412967968
random,16,4096,21.729300626285607,10.400818155077962,10.085206281516891
tangent,2,4,7.7896525459310855,1.7622922003478674,0.839658100621154
tangent,2,8,3.8546469616556336,0.9535922224963608,0.42174044508011665
tangent,2,16,0.5691588308745207,0.07477448050346913,0.02987837474739773
tangent,2,32,0.45059098458111224,0.05517561323721245,0.022017333665849556
tangent,2,64,0.3429477377134254,0.028290139678516162,0.008440426642255625
