name,family,dim,hidden,steps,n_train,n_eval,seconds,one_net_prior_relL2,two_net_prior_relL2,one_net_invprox_relL2,two_net_invprox_relL2,one_net_G_val_mse,two_net_psi_val_mse,two_net_G_val_mse
quadratic_l1_2D,quadratic_l1,2,256,250000,30000,1000,2489.2,0.0037692166615277208,0.003176242485506996,0.03384315167561296,0.034418960463162694,0.0002478015667293221,5.81273743591737e-05,0.00015961028111632913
negl1_2D,negl1,2,256,250000,30000,1000,2709.4,0.010393091998414587,0.010553409068405496,0.03411073893475033,0.03520447757784581,2.9346361770876683e-05,0.00016603217227384448,2.423286423436366e-05
quadratic_l1_4D,quadratic_l1,4,256,250000,60000,1000,2935.8,0.004235652096488581,0.003776280299276472,0.03750699502937778,0.038426893283374654,0.0011701124021783471,0.0002210440579801798,0.0006417256663553417
negl1_4D,negl1,4,256,250000,60000,1000,2958.8,0.01767893271763192,0.011538998872864454,0.06419685114548204,0.051945383874487085,0.0002037576778093353,0.0010584001429378986,0.00016661152767483145
quadratic_l1_8D,quadratic_l1,8,256,250000,120000,1000,2947.3,0.005397408349339298,0.004661659131552516,0.04731624715060894,0.047737101448861556,0.005450016353279352,0.0008272590348497033,0.003393811173737049
negl1_8D,negl1,8,256,250000,120000,1000,3010.2,0.020422476821389694,0.017313525426328285,0.10278410279864938,0.10450442096488213,0.0010460256598889828,0.004709051921963692,0.0011346545070409775
quadratic_l1_16D,quadratic_l1,16,256,250000,240000,1000,3123.0,0.009773229090872212,0.010701894633946806,0.05758449190961684,0.06048535500575779,0.051027003675699234,0.011732657440006733,0.04445912316441536
negl1_16D,negl1,16,256,250000,240000,1000,3081.2,0.031086629636045946,0.02808288570140967,0.1998473418896582,0.22672157239110932,0.04510487616062164,0.04748205468058586,0.05600149556994438
quadratic_l1_32D,quadratic_l1,32,256,250000,480000,1000,3162.4,0.014832108746848793,0.07681335083735678,0.08601926031875338,0.1371703344474313,0.4125906825065613,4.0981574058532715,1.6389504671096802
negl1_32D,negl1,32,256,250000,480000,1000,3181.4,0.029351386310685602,0.042607258584244134,0.3413511388292795,0.34670457448313224,2.8326523303985596,0.5733650922775269,2.2091338634490967
quadratic_l1_64D,quadratic_l1,64,256,250000,960000,1000,3418.3,0.02197736007746366,0.20599140753323403,0.16200312305991346,0.2740272406898459,5.206906795501709,15.167916297912598,13.099896430969238
negl1_64D,negl1,64,256,250000,960000,1000,3145.9,0.03134196496682632,0.19485627956752855,0.34734662693116586,0.4859768803518128,15.932730674743652,6.843723297119141,6.35889196395874
