name,dim,hidden,n_train,steps,query_halfwidth,train_halfwidth,preimage_bound,invert_alpha_best,psi_val_mse,G_val_mse,prior_rmse_route1,prior_rmse_route2,route1_median_prox_residual,route2_median_prox_residual,route1_median_fy_gap,route2_median_fy_gap,route1_max_preimage_linf,route2_max_preimage_linf,route1_preimage_excess,route2_preimage_excess,route1_all_alphas_diverged,route1_diverged_per_alpha,route2_frac_query_uncovered,min_inner_weight,error
quadratic_l1_2D,2,256,30000,250000,4.0,5.0,5.0,0.0,5.996647814754397e-05,0.0001698431879049167,0.0067444511007222,0.014511838990579428,0.0009692449917420322,0.006517622631718227,0.0008729535420748391,0.0006091750307746224,4.885794639587402,4.970097064971924,0.9771589279174805,0.9940194129943848,False,"{0.0: False, 0.1: False}",0.0,0.0,
quadratic_l1_4D,4,256,60000,250000,4.0,5.0,5.0,0.0,0.00014695616846438497,0.0008572674705646932,0.010850480553707456,0.033275995807725854,0.0034373177456344466,0.01757983184001278,-0.0016416534667804683,0.0028562860438707816,4.943546772003174,5.05986213684082,0.9887093544006348,1.011972427368164,False,"{0.0: False, 0.1: False}",0.0505,0.0,
quadratic_l1_8D,8,256,120000,250000,4.0,5.0,5.0,0.0,0.0004936212790198624,0.003683107439428568,0.02074862627667377,0.08102385558339295,0.008013672226372077,0.02831987950868567,-0.0387374228151689,-0.01776668315860519,4.986192226409912,5.097160816192627,0.9972384452819825,1.0194321632385255,False,"{0.0: False, 0.1: False}",0.0585,0.0,
quadratic_l1_16D,16,256,240000,250000,4.0,5.0,5.0,0.0,0.007921780459582806,0.027081431820988655,0.19584353903170934,0.2843534315290625,0.0012965303553556032,0.057381340379235216,-0.22778551760760735,-0.004204308616962749,6.594676494598389,5.108832836151123,1.3189352989196776,1.0217665672302245,False,"{0.0: False, 0.1: False}",0.0,0.0,
quadratic_l1_32D,32,256,480000,250000,4.0,5.0,5.0,0.1,4.09136438369751,1.6597752571105957,2.9668284848173436,5.066599298328179,0.14238304051954026,0.19870606102083965,-4.534570315695689,-1.5447674241450926,6.389592170715332,5.690369606018066,1.2779184341430665,1.1380739212036133,False,"{0.0: True, 0.1: False}",0.0,0.0,
quadratic_l1_64D,64,256,960000,250000,4.0,5.0,5.0,0.1,15.635753631591797,13.70861530303955,,25.96379349839361,0.16075597815651582,0.34224347742638817,-42.695733736699566,0.42482265722605916,8.269619941711426,6.283313751220703,1.6539239883422852,1.2566627502441405,True,"{0.0: True, 0.1: True}",0.0,0.0,
negl1_2D,2,256,30000,250000,4.0,4.0,4.0,0.0,0.00016676471568644047,1.7517537344247103e-05,0.21169035584056312,0.20833328698352901,0.00012380964733922645,0.01172925898648221,0.00038801104184305046,0.0004401899874197923,2.925997018814087,3.0125508308410645,0.7314992547035217,0.7531377077102661,False,"{0.0: False, 0.1: False}",0.0,0.0,
negl1_4D,4,256,60000,250000,4.0,4.0,4.0,0.0,0.0008808092679828405,0.0001668416225584224,0.3365104159710946,0.33594750354893144,0.0037384264493558667,0.015283127208981472,-0.0037588245328894487,-0.002780843647911091,2.9391872882843018,3.0319252014160156,0.7347968220710754,0.7579813003540039,False,"{0.0: False, 0.1: False}",0.0,0.0,
negl1_8D,8,256,120000,250000,4.0,4.0,4.0,0.0,0.00463959900662303,0.0012140200706198812,0.6621328735130716,0.6479479400447077,0.005525177163072405,0.01737402747244869,0.004459469190440046,0.006928094876778701,2.941836357116699,3.030221939086914,0.7354590892791748,0.7575554847717285,False,"{0.0: False, 0.1: False}",0.0,0.0,
negl1_16D,16,256,240000,250000,4.0,4.0,4.0,0.0,0.0487653911113739,0.06423230469226837,1.3549547916184113,1.355274005442518,0.0061688722688552486,0.07884742397429681,0.09782616913123121,0.2774419922171738,3.016535758972168,3.1868748664855957,0.754133939743042,0.7967187166213989,False,"{0.0: False, 0.1: False}",0.0,0.0,
