name,dim,hidden,query_halfwidth,train_halfwidth,invert_alpha,psi_val_mse,G_val_mse,prior_rmse_route1,prior_rmse_route2,route1_median_prox_residual,route2_median_prox_residual,route1_median_fy_gap,route2_median_fy_gap,route1_max_preimage_linf,route2_max_preimage_linf,route2_frac_query_uncovered,min_inner_weight,error
quadratic_l1_2D,2,64,4.0,5.0,0.0,0.0011136485263705254,0.0012465710751712322,0.03344993535434423,0.058668761666500355,0.00025809023528975284,0.025766355231632503,-0.006535014918701787,0.0004396344563932786,5.357975006103516,5.005059719085693,0.0,0.0,
quadratic_l1_4D,4,64,4.0,5.0,0.0,0.02807817980647087,0.008264674805104733,0.19611204771433227,0.19751365950651065,0.00039412781074797004,0.04502994265646871,-0.017240847432755224,0.016851325783060034,6.1784844398498535,4.906982421875,0.0,0.0,
quadratic_l1_8D,8,128,4.0,5.0,0.0,0.5299146771430969,0.07951072603464127,4.814781892373673,0.8905455905194196,5.249472172997264e-07,0.09958677193095478,-0.40047995820785687,-0.07737938090734175,18.75469207763672,6.208051681518555,0.0,0.0,
negl1_2D,2,64,4.0,4.0,0.0,0.0020666413474828005,0.0013940512435510755,0.27714458208219145,0.22153923250589158,0.0005277833589392915,0.016765103026344912,-0.0006060369120981512,0.0008630346264282274,2.931734800338745,3.058356285095215,0.0,0.0,
negl1_4D,4,64,4.0,4.0,0.0,0.019025864079594612,0.006632063537836075,0.5222184619287632,0.5124154318434775,0.0019347399313504625,0.033079244613662045,0.019221978543198404,0.028441201750302625,3.048398494720459,3.187971830368042,0.0,0.0,
negl1_8D,8,128,4.0,4.0,0.0,0.08066308498382568,0.3325687348842621,0.7100134189024089,0.9205503559775262,0.002927327959495071,0.10509608069129844,0.4061786635063811,0.5822800685376164,3.017373561859131,2.885451555252075,0.0,0.0,
concave_quad_2D,2,64,4.0,4.0,0.0,0.00047023556544445455,0.0009314151830039918,0.030706023509910228,0.03804314229807216,0.0005460755839160442,0.024490762770384075,-0.0020283871980586454,0.0010631045228894909,1.976568579673767,2.065222978591919,0.0,0.0,
concave_quad_4D,4,64,4.0,4.0,0.0,0.007887501269578934,0.01420930027961731,0.06803565927905753,0.10791467065956752,0.0037018526652000967,0.055346293812494854,-0.027271165776642015,-0.008562713124843135,2.011371612548828,2.149449586868286,0.0,0.0,
concave_quad_8D,8,128,4.0,4.0,0.0,0.15762294828891754,0.49628952145576477,0.16502749644283812,0.41659728897974757,0.005333792693701831,0.09422937547088872,-0.2231895810764324,-0.12111134299677495,2.0908446311950684,2.350083827972412,0.0,0.0,
minplus_2D,2,64,4.0,9.0,0.0,0.0015377741074189544,0.0010669954353943467,0.04250472540362151,0.04172296137798923,7.613985590721812e-06,0.009931993400740299,2.4183632863383764e-05,1.436294813217387e-05,8.470770835876465,8.93172550201416,0.0,0.0,
minplus_4D,4,64,4.0,9.0,0.0,0.02146216109395027,0.03018999844789505,0.12650652625512407,0.12750757820804073,0.0012245447702017125,0.0356144374648915,-0.027056438126045634,-0.0005519467283789936,8.718703269958496,9.080765724182129,0.0,0.0,
minplus_8D,8,128,4.0,9.0,0.0,0.6081641912460327,0.6252561211585999,0.6077566333619254,0.5806791299375349,0.0025465291419611725,0.07999082186072863,-0.263791788598148,0.006115332813230623,9.300823211669922,9.003348350524902,0.0,0.0,
